Fecha;Ronda;Estadio;Local;Visitante;Resultado Local;Resultado Visitante;Ganador
17/04/2012;Semifinales Ida;Allianz Arena;Bayern Munich;Real Madrid;2;1;Bayern Munich
25/04/2012;Semifinales Vuelta;Santiago Bernabéu;Real Madrid;Bayern Munich;2;1;
23/04/2014;Semifinales Ida;Santiago Bernabéu;Real Madrid;Bayern Munich;1;0;Real Madrid
29/04/2014;Semifinales Vuelta;Allianz Arena;Bayern Munich;Real Madrid;0;4;
12/04/2017;Cuartos de Final Ida;Allianz Arena;Bayern Munich;Real Madrid;1;2;Real Madrid
18/04/2017;Cuartos de Final Vuelta;Santiago Bernabéu;Real Madrid;Bayern Munich;4;2;
25/04/2018;Semifinales Ida;Allianz Arena;Bayern Munich;Real Madrid;1;2;Real Madrid
01/05/2018;Semifinales Vuelta;Santiago Bernabéu;Real Madrid;Bayern Munich;2;2;
18/02/2020;Octavos de Final Ida;Signal Iduna Park;Borussia Dortmund;PSG;2;1;PSG
11/03/2020;Octavos de Final Vuelta;Parc des Princes;PSG;Borussia Dortmund;2;0;
21/10/2015;Fase de Grupos;Parc des Princes;PSG;Real Madrid;0;0;Real Madrid
03/11/2015;Fase de Grupos;Santiago Bernabéu;Real Madrid;PSG;1;0;
14/02/2018;Octavos de Final Ida;Santiago Bernabéu;Real Madrid;PSG;3;1;Real Madrid
06/03/2018;Octavos de Final Vuelta;Parc des Princes;PSG;Real Madrid;1;2;
18/09/2019;Fase de Grupos;Parc des Princes;PSG;Real Madrid;3;0;PSG
26/11/2019;Fase de Grupos;Santiago Bernabéu;Real Madrid;PSG;2;2;
15/02/2022;Octavos de Final Ida;Parc des Princes;PSG;Real Madrid;1;0;Real Madrid
09/03/2022;Octavos de Final Vuelta;Santiago Bernabéu;Real Madrid;PSG;3;1;
27/09/2017;Fase de Grupos;Parc des Princes;PSG;Bayern Munich;3;0;PSG
05/12/2017;Fase de Grupos;Allianz Arena;Bayern Munich;PSG;3;1;
23/08/2020;Final;Estadio Da Luz;PSG;Bayern Munich;0;1;Bayern Munich
24/10/2012;Fase de Grupos;Signal Iduna Park;Borussia Dortmund;Real Madrid;2;1;Borussia Dortmund
06/11/2022;Fase de Grupos;Santiago Bernabéu;Real Madrid;Borussia Dortmund;2;2;
24/04/2013;Semifinales Ida;Signal Iduna Park;Borussia Dortmund;Real Madrid;4;1;Borussia Dortmund
30/04/2013;Semifinales Vuelta;Santiago Bernabéu;Real Madrid;Borussia Dortmund;2;0;
02/04/2014;Cuartos de Final Ida;Santiago Bernabéu;Real Madrid;Borussia Dortmund;3;0;Real Madrid
08/04/2014;Cuartos de Final Vuelta;Signal Iduna Park;Borussia Dortmund;Real Madrid;2;0;
27/09/2016;Fase de Grupos;Signal Iduna Park;Borussia Dortmund;Real Madrid;2;2;Empate
07/12/2016;Fase de Grupos;Santiago Bernabéu;Real Madrid;Borussia Dortmund;2;2;
26/09/2017;Fase de Grupos;Signal Iduna Park;Borussia Dortmund;Real Madrid;1;3;Real Madrid
06/12/2017;Fase de Grupos;Santiago Bernabéu;Real Madrid;Borussia Dortmund;3;2;
25/05/2013;Final;Wembley Stadium;Borussia Dortmund;Bayern Munich;1;2;Bayern Munich
